<portfolio>,Portfolio2,,,,
<portfolio owner>,,,,,
<description>,,,,,
<store by value>,No,,,,
<validate>,Yes,,,,
<ID AS OF>,Today,,,,
<portfolio value>,10000000,,,,
<portfolio currency>,CNY,,,,
<base currency>,CNY,,,,
<date>,<portfolio>,<CODE_CN>,<TICKER_US>,<ISIN>,<weight>
20100301,,000049.SZ,,,0.323984521
20100301,,000801.SZ,,,0.323353306
20100301,,002153.SZ,,,0.321927413
20100301,,000068.SZ,,,0.320345602
20100301,,000519.SZ,,,0.319412611
20100301,,600891.SH,,,0.319110834
20100301,,000567.SZ,,,0.318147665
20100301,,000895.SZ,,,0.314631971
20100301,,002219.SZ,,,0.314035963
20100301,,600575.SH,,,0.31108107
20100301,,000056.SZ,,,0.30898121
20100301,,002002.SZ,,,0.308847925
20100301,,600983.SH,,,0.308106058
20100301,,002223.SZ,,,0.307980318
20100301,,000568.SZ,,,0.304723649
20100301,,600272.SH,,,0.304240807
20100301,,002161.SZ,,,0.301864319
20100301,,600703.SH,,,0.301733549
20100301,,000411.SZ,,,0.30005869
20100301,,000592.SZ,,,0.298587531
20100301,,600444.SH,,,0.297420663
20100301,,300022.SZ,,,0.296739151
20100301,,000018.SZ,,,0.29585897
20100301,,600276.SH,,,0.294282189
20100301,,002215.SZ,,,0.293122865
20100301,,600537.SH,,,0.292529372
20100301,,000065.SZ,,,0.289604656
20100301,,600090.SH,,,0.289199773
20100301,,600599.SH,,,0.288322107
20100301,,000028.SZ,,,0.288171219
20100301,,000596.SZ,,,0.287555092
20100301,,600251.SH,,,0.286679941
20100301,,600768.SH,,,0.286546657
20100301,,000716.SZ,,,0.28599843
20100301,,600538.SH,,,0.285824908
20100301,,000008.SZ,,,0.283325195
20100301,,600519.SH,,,0.283035992
20100301,,600107.SH,,,0.282326818
20100301,,600753.SH,,,0.280277254
20100301,,600136.SH,,,0.279829619
20100301,,600193.SH,,,0.277925914
20100301,,000661.SZ,,,0.277820292
20100301,,600112.SH,,,0.277199136
20100301,,300003.SZ,,,0.275094246
20100301,,600209.SH,,,0.27434735
20100301,,002093.SZ,,,0.273555187
20100301,,002151.SZ,,,0.272071453
20100301,,000504.SZ,,,0.271520712
20100301,,600715.SH,,,0.270990088
20100301,,000020.SZ,,,0.270575146
20100301,,002104.SZ,,,0.268447623
20100301,,000760.SZ,,,0.268183569
20100301,,000526.SZ,,,0.267997473
20100301,,000953.SZ,,,0.266518769
20100301,,600203.SH,,,0.266134005
20100301,,600086.SH,,,0.265203528
20100301,,000925.SZ,,,0.264700567
